,state,name,type,city,county,enroll,mmr,overall,xrel,xmed,xper
89,Arizona,Mountain Vista,Private,Oracle,Pinal,45.0,100.0,92.06,4.33,2.0,7.53
90,Arizona,Moya Elementary,Public,Phoenix,Maricopa,67.0,100.0,92.06,4.33,2.0,7.53
91,Arizona,Myers-Ganoung Elementary,Public,Tucson,Pima,66.0,100.0,92.06,4.33,3.03,7.53
92,Arizona,Naco Elementary,Public,Naco,Cochise,34.0,100.0,92.06,4.33,2.0,7.53
93,Arizona,New Vistas Academy,Private,Chandler,Maricopa,45.0,100.0,92.06,4.33,2.0,7.53
94,Arizona,Noor Academy Of Arizona,Private,Tempe,Maricopa,25.0,100.0,92.06,4.33,2.0,4.0
95,Arizona,Ochoa Elementary,Public,Tucson,Pima,29.0,100.0,92.06,4.33,2.0,7.53
96,Arizona,Omega Alpha Academy,Charter,Douglas,Cochise,21.0,100.0,92.06,4.33,2.0,7.53
97,Arizona,Orange Grove Elementary,Public,Somerton,Yuma,63.0,100.0,92.06,4.33,2.0,7.53
98,Arizona,Our Lady Of Lourdes Academy,Private,Nogales,Santa Cruz,24.0,100.0,92.06,4.33,2.0,4.17
99,Arizona,Pan-American Elementary Charter,Charter,Phoenix,Maricopa,76.0,100.0,92.06,4.33,2.0,7.53
100,Arizona,Pecan Grove Elementary,Public,Yuma,Yuma,37.0,100.0,92.06,4.33,2.0,7.53
101,Arizona,Picacho,Public,Picacho,Pinal,23.0,100.0,92.06,4.33,2.0,7.53
102,Arizona,Pinon Elementary,Public,Pinon,Navajo,45.0,100.0,92.06,4.33,2.0,7.53
103,Arizona,Porter Elementary,Public,Mesa,Maricopa,68.0,100.0,92.06,4.33,1.47,7.53
104,Arizona,Pueblo Elementary,Charter,Scottsdale,Maricopa,81.0,100.0,92.06,4.33,2.0,7.41
105,Arizona,Pueblo Gardens Elementary,Public,Tucson,Pima,34.0,100.0,92.06,4.33,2.0,7.53
106,Arizona,Pusch Ridge Christian Academy,Private,Tucson,Pima,24.0,100.0,92.06,4.33,2.0,4.17
107,Arizona,Raul Grijalva Elementary,Public,Tucson,Pima,85.0,100.0,92.06,4.33,2.0,7.53
108,Arizona,Richard B Wilson Jr,Public,Tucson,Pima,61.0,100.0,92.06,4.33,2.0,1.64
109,Arizona,Rio Colorado Elementary,Public,San Luis,Yuma,69.0,100.0,92.06,4.33,2.0,7.53
110,Arizona,Rio Vista Elementary,Public,Tucson,Pima,63.0,100.0,92.06,4.33,2.0,7.53
111,Arizona,Rivera Elementary,Public,Tucson,Pima,70.0,100.0,92.06,4.33,2.0,7.53
112,Arizona,Robert Bracker Elementary,Public,Nogales,Santa Cruz,41.0,100.0,92.06,4.33,2.0,7.53
113,Arizona,Ronald Reagan Fundamental,Public,Yuma,Yuma,66.0,100.0,92.06,4.33,2.0,7.53
114,Arizona,Roskruge Bilingual K-8,Public,Tucson,Pima,37.0,100.0,92.06,4.33,2.0,7.53
115,Arizona,Sacaton Elementary,Public,Sacaton,Pinal,83.0,100.0,92.06,4.33,2.0,7.53
116,Arizona,Safford Elementary,Public,Tucson,Pima,26.0,100.0,92.06,4.33,2.0,7.53
117,Arizona,Saint Cyril Of Alexandria,Private,Tucson,Pima,41.0,100.0,92.06,4.33,2.0,7.53
118,Arizona,Saint Elizabeth Ann Seton,Private,Tucson,Pima,34.0,100.0,92.06,4.33,2.0,7.53
119,Arizona,Saint Joseph Catholic,Private,Tucson,Pima,22.0,100.0,92.06,4.33,2.0,7.53
120,Arizona,Saint Louis The King,Private,Glendale,Maricopa,24.0,100.0,92.06,4.33,2.0,7.53
121,Arizona,Saint Peter Indian Mission,Private,Bapchule,Pinal,22.0,100.0,92.06,4.33,2.0,7.53
122,Arizona,Saint Thomas Aquinas Grade,Private,Avondale,Maricopa,41.0,100.0,92.06,4.33,2.0,7.53
123,Arizona,Saint Timothy Catholic,Private,Mesa,Maricopa,22.0,100.0,92.06,4.33,2.0,4.55
124,Arizona,Saints Peter & Paul Catholic,Private,Tucson,Pima,34.0,100.0,92.06,4.33,2.0,2.94
125,Arizona,Saints Simon And Jude,Private,Phoenix,Maricopa,40.0,100.0,92.06,4.33,2.0,7.53
126,Arizona,Sam Hughes Elementary,Public,Tucson,Pima,57.0,100.0,92.06,4.33,2.0,7.53
127,Arizona,San Cayetano Elementary,Public,Rio Rico,Santa Cruz,92.0,100.0,92.06,4.33,2.0,7.53
